REGION;DEPARTEMENT;CODE_INSEE;COMMUNE;NB_REDEVABLES;PAT_MOYEN;IMPOTS_MOYEN
ILE-DE-FRANCE;ESSONNE;91272;GIFSURYVETTE;385;2243196;7135;;;;;;;
ILE-DE-FRANCE;ESSONNE;91345;LONGJUMEAU;51;3033181;15381;;;;;;;
ILE-DE-FRANCE;ESSONNE;91377;MASSY;102;2142458;7697;;;;;;;
ILE-DE-FRANCE;ESSONNE;91421;MONTGERON;162;2462693;8093;;;;;;;
ILE-DE-FRANCE;ESSONNE;91434;MORSANGSURORGE;75;2431240;9341;;;;;;;
ILE-DE-FRANCE;ESSONNE;91477;PALAISEAU;249;3663182;10959;;;;;;;
ILE-DE-FRANCE;ESSONNE;91589;SAVIGNYSURORGE;124;2138970;7490;;;;;;;
ILE-DE-FRANCE;ESSONNE;91549;STEGENEVIEVEDESBOIS;154;2385924;8417;;;;;;;
ILE-DE-FRANCE;ESSONNE;91687;VIRYCHATILLON;64;1983768;5987;;;;;;;
ILE-DE-FRANCE;ESSONNE;91691;YERRES;131;2243349;7905;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92002;ANTONY;860;2307096;8082;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92004;ASNIERES;807;2502598;9209;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92007;BAGNEUX;69;2059583;6275;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92009;BOIS-COLOMBES;354;2387518;8154;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92012;BOULOGNEBILLANCOURT;3914;2954863;12731;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92014;BOURGLAREINE;483;2622848;9392;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92019;CHATENAYMALABRY;317;2618242;10802;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92020;CHATILLON;261;2395131;8330;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92023;CLAMART;701;2600416;9811;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92024;CLICHY;131;2263898;8517;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92025;COLOMBES;463;2470270;10353;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92026;COURBEVOIE;1137;2361265;9045;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92032;FONTENAYAUXROSES;281;2136306;6936;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92040;ISSYLESMOULINEAUX;911;2484814;8867;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92035;LAGARENNECOLOMBES;353;2427495;9211;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92060;LEPLESSISROBINSON;203;2316036;8535;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92044;LEVALLOIS-PERRET;1374;3105437;10956;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92046;MALAKOFF;161;2391552;8445;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92048;MEUDON;1015;2710995;10517;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92049;MONTROUGE;454;2558496;10532;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92050;NANTERRE;263;2154642;6608;;;;;;;
ILE-DE-FRANCE;HAUTS-DE-SEINE;92051;NEUILLYSURSEINE;5834;6026825;27701;;;;;;;
