REGION;DEPARTEMENT;CODE_INSEE;COMMUNE;NB_REDEVABLES;PAT_MOYEN;IMPOTS_MOYEN
PROVENCE-ALPES-COTED'AZUR;BOUCHES-DU-RHONE;13005;AUBAGNE;82;2041798;7569;
PROVENCE-ALPES-COTED'AZUR;BOUCHES-DU-RHONE;13028;LACIOTAT;96;1993802;7557;
PROVENCE-ALPES-COTED'AZUR;BOUCHES-DU-RHONE;13055;MARSEILLE;1420;2159365;8286;
PROVENCE-ALPES-COTED'AZUR;BOUCHES-DU-RHONE;13103;SALONDEPROVENCE;61;2019177;7879;
PROVENCE-ALPES-COTED'AZUR;HAUTES-ALPES;05061;GAP;54;2179202;7887;
PROVENCE-ALPES-COTED'AZUR;VAR;83050;DRAGUIGNAN;70;2044655;7708;
PROVENCE-ALPES-COTED'AZUR;VAR;83061;FREJUS;142;2050342;7973;
PROVENCE-ALPES-COTED'AZUR;VAR;83069;HYERES;201;2034546;7578;
PROVENCE-ALPES-COTED'AZUR;VAR;83118;SAINT-RAPHAEL;280;2189364;9119;
PROVENCE-ALPES-COTED'AZUR;VAR;83126;LASEYNESURMER;61;1766519;5701;
PROVENCE-ALPES-COTED'AZUR;VAR;83129;SIX-FOURS-LES-PLAGES;99;1977169;7034;
PROVENCE-ALPES-COTED'AZUR;VAR;83137;TOULON;244;2152107;8733;
PROVENCE-ALPES-COTED'AZUR;VAUCLUSE;84007;AVIGNON;105;2086742;7202;
